tweet,descriptions,clean_tweet,sentiment
"@tokopedia Harus punya Reno8 T karena aku suka banget dunia photography dengan 108MP bakalan bagus banget hasil fotonya, aku juga suka Game dengan layar Amoled 6.8 inch bakal puas banget main gamenya. #Reno8TdiTokopedia","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia reno t suka banget dunia photography mp bagus banget hasil foto suka game layar amoled inch puas banget main gamenya renotditokopedia,positif
@thankuchingu voc tokopedia now masih ada kak?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",thankuchingu voc tokopedia now kak,netral
@trash_url @18fesss Tokopedia kak,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",trashurl fesss tokopedia kak,netral
"Yha Lord, rejekiku udah cukup. Tapi bisa gak dilebihin dikit buat ganti HP #OPPOReno8T beli di @tokopedia ?","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",yha lord rejekiku udah dilebihin dikit ganti hp opporenot beli tokopedia,netral
"hiburan di kapal ini cuma cek tokopedia sama shopee, itu bener2 paling menghibur","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",hibur kapal cek tokopedia shopee bener hibur,positif
@etekattack @tokopedia duh ga notice lagi tek .. sedih dah w -_-,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",etekattack tokopedia duh ga notice tek sedih dah w,negatif
"@powtypou hai kak, shopee&amp;tokopedia bisa ya:) tapi barang yg kakak rep udh sold🥹","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",powtypou hai kak shopeeamptokopedia ya barang yg kakak rep udh sold,netral
"@mozaru_chizu nggak ada .. &gt;~&lt;
fun fact : di tiap kota, isinya indomaret alfamart bisa beda. OwO
kalo aku mau coba bisanya pesen dari tokopedia. xD","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",mozaruchizu nggak gtltfun fact kota isi indomaret alfamart beda owokalo coba bisa sen tokopedia xd,positif
Minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,"['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,netral
"@tokopedia belum juga kerja, malah sibuk cari tempat ngopi🤣","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia kerja sibuk cari ngopi,positif
@riev13 @tokopedia @TokopediaCare Sidoarjo ciw,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",riev tokopedia tokopediacare sidoarjo ciw,netral
"@swaayo @tokopedia @TokopediaCare sedih amat yuuuuu
bocahan mana itu yg jokul sampah?","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",swaayo tokopedia tokopediacare sedih yuuuuubocahan yg jokul sampah,negatif
"@tokopedia Sama, bedanya aku mikirin ayang🤣","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia beda mikirin ayang,netral
"Admin @tokopedia, tolong aktif di resolution center. Laptop saya diambil orang lain di gudang @sicepat_ekspres . Mohon bantuannya untuk aktif di resolution center. Udah 2 hari gak ada tanggapan.","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",admin tokopedia tolong aktif resolution center laptop ambil orang gudang sicepatekspres mohon bantu aktif resolution center udah tanggap,positif
@tokopedia Nice info buat parents nihhh,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia nice info parents nihhh,netral
@tokopedia wehhh Semarang 🤣,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia wehhh semarang,netral
"🍀 Open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, dijamin trusted💯 fee start 25k 🍀 pencairan cairin tarik gesek tunai paylater topup top up #zonauang #zonabu #gestun","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi jamin trusted fee start k cair cairin tarik gesek tunai paylater topup top up zonauang zonabu gestun,positif
@tokopedia Pemenang nya diumumkan dimna?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia menang nya umum dimna,positif
"@tokopedia Saya malah seringnya mikirin sarapan apa, lalu panggil OB utk beli. 
Nanti siangnya baru mikir lg utk lunch. 🤭😂","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'Topics about food, like Donuts or Brunch', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia mikirin sarap panggil ob utk beli siang mikir lg utk lunch,netral
@tokopedia Ngacuungg 👆,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ngacuungg,netral
"@nyenyoleee Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",nyenyoleee hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
@tokopedia Aku malah mikirin crush min,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia mikirin crush min,netral
"@leecqhan Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",leecqhan hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
@tokopedia Tau aja min,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia tau aja min,netral
@nandamunidewi Harusnya kasi tau lah mbok biar dia beli di tokopedia. Biar aku makin cuan juga utk beli tiket M-Trans… hahahaha,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",nandamunidewi kasi tau mbok biar beli tokopedia biar cuan utk beli tiket mtrans hahahaha,netral
@tokopedia Enggak ikut tes CPNS min tapi ikut tes jadi pengusaha,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia tes cpns min tes usaha,netral
"11. Individual Presentation dari CEO Tokopedia, yang menyampaikan kiat-kiat sukses dalam membangun platform e-commerce sebagai salah satu misi mencapai pemerataan ekonomi digital.
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",individual presentation ceo tokopedia kiatkiat sukses bangun platform ecommerce salah misi capai perata ekonomi digitalkumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,netral
"10. Keesokan harinya acara dimulai kembali dengan Individual Presentation dari CEO Tokopedia, yg menyampaikan kiat-kiat sukses dlm membangun platform e-commerce 
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Al","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",esok hari acara individual presentation ceo tokopedia yg kiatkiat sukses dlm bangun platform ecommerce kumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol al,positif
"@boraonme Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",boraonme hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
@AkemiNekomachi bukannya pesan di tokopedia?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",akeminekomachi pesan tokopedia,netral
"Open jasa titip jualan/produk/link co

• Fee jastip: 1.5k/resi
• Avail for: tokped (bebas ongkir) &amp; shopee (xtra)
• Payment after cek link
• Bisa cek ongkir dulu
• Hrs sudah ada buyer

#zonauang #zonajajan #zonaba nitip dititipin tokopedia oren ijo gratong freeong","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open jasa titip jualanproduklink co fee jastip kresi avail for tokped bebas ongkir amp shopee xtra payment after cek link cek ongkir dulu hrs buyerzonauang zonajajan zonaba nitip dititipin tokopedia oren ijo gratong freeong,netral
"11. Individual Presentation dari CEO Tokopedia, yang menyampaikan kiat-kiat sukses dalam membangun platform e-commerce sebagai salah satu misi mencapai pemerataan ekonomi digital.
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",individual presentation ceo tokopedia kiatkiat sukses bangun platform ecommerce salah misi capai perata ekonomi digitalkumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,netral
"10. Keesokan harinya acara dimulai kembali dengan Individual Presentation dari CEO Tokopedia, yg menyampaikan kiat-kiat sukses dlm membangun platform e-commerce 
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",esok hari acara individual presentation ceo tokopedia yg kiatkiat sukses dlm bangun platform ecommerce kumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,positif
"11. Individual Presentation dari CEO Tokopedia, yang menyampaikan kiat-kiat sukses dalam membangun platform e-commerce sebagai salah satu misi mencapai pemerataan ekonomi digital.
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",individual presentation ceo tokopedia kiatkiat sukses bangun platform ecommerce salah misi capai perata ekonomi digitalkumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,netral
"10. Keesokan harinya acara dimulai kembali dengan Individual Presentation dari CEO Tokopedia, yg menyampaikan kiat-kiat sukses dlm membangun platform e-commerce 
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",esok hari acara individual presentation ceo tokopedia yg kiatkiat sukses dlm bangun platform ecommerce kumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,positif
"11. Individual Presentation dari CEO Tokopedia, yang menyampaikan kiat-kiat sukses dalam membangun platform e-commerce sebagai salah satu misi mencapai pemerataan ekonomi digital.
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",individual presentation ceo tokopedia kiatkiat sukses bangun platform ecommerce salah misi capai perata ekonomi digitalkumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,netral
"10. Keesokan harinya acara dimulai kembali dengan Individual Presentation dari CEO Tokopedia, yg menyampaikan kiat-kiat sukses dlm membangun platform e-commerce 
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",esok hari acara individual presentation ceo tokopedia yg kiatkiat sukses dlm bangun platform ecommerce kumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,positif
@ShopeeID Aplikasi nya lemot parah... kalah cepet sama tokopedia,"['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",shopeeid aplikasi nya lot parah kalah cepet tokopedia,negatif
"@dea_sehat @tokopedia @ShopeeCare @TokopediaCare @bukalapak @blibli Di jual beli online di tuntun ada video unboxing kalo gak ada unboxing pihak ke 3 mana percaya ke anda jangan semua samain toko online penipu 

kan anda bisa lihat reting yang gimana buruk atau gak setiap toko ada peraturan video unboxing kalo gak ada buyer yang bertanggung jwb","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",deasehat tokopedia shopeecare tokopediacare bukalapak blibli jual beli online tuntun video unboxing kalo unboxing percaya samain toko online tipu lihat reting gimana buruk toko atur video unboxing kalo buyer tanggung jwb,negatif
"11. Individual Presentation dari CEO Tokopedia, yang menyampaikan kiat-kiat sukses dalam membangun platform e-commerce sebagai salah satu misi mencapai pemerataan ekonomi digital.
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",individual presentation ceo tokopedia kiatkiat sukses bangun platform ecommerce salah misi capai perata ekonomi digitalkumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,netral
"10. Keesokan harinya acara dimulai kembali dengan Individual Presentation dari CEO Tokopedia, yg menyampaikan kiat-kiat sukses dlm membangun platform e-commerce 
@kumham_kalsel

#KumhamKalsel
#FaisolAli
Kanwil Kemenkumham Kalsel
Faisol Ali","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",esok hari acara individual presentation ceo tokopedia yg kiatkiat sukses dlm bangun platform ecommerce kumhamkalselkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,positif
"WTS 
Tiket EXO SC, CAT 1 jual rugi 1,8/tiket
Sisa 2 tiket ROW i
Mau di urusin sampe tiket fisik bisa nanti lewat jasa tuker tiket
Mau rekber tokopedia/shopee juga boleh
#EXOSC_BackToBack #EXOSCFANCONINJAKARTA #EXOSCInJKT","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Named people in the world like Nelson Mandela', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",wts tiket exo sc cat jual rugi tiketsisa tiket row imau urusin sampe tiket fisik jasa tuker tiketmau rekber tokopediashopee bolehexoscbacktoback exoscfanconinjakarta exoscinjkt,negatif
"""Selamat! Kamu terpilih untuk dapetin diskon belanja s/d Rp150.000 di ribuan merchant favorit seperti Tokopedia, Lazada, Alfamart, dll.

Cukup daftar Kredivo menggunakan kode referal 'nuru3kjpo', diskon akan langsung bisa kamu pakai untuk transaksi pertamamu!

""","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",selamat pilih dapetin diskon belanja sd rp ribu merchant favorit tokopedia lazada alfamart dllcukup daftar kredivo kode referal nurukjpo diskon langsung pakai transaksi pertama,positif
"@DragonoHalim Pengalaman sendiri sih nggak ni, karena pas tanggalnya jatuh tempo jadi udah dianggep nggak ada yang nunggak karena udah kebayar sebelumnya sama Tokopedia Langganan","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",dragonohalim alam sih nggak ni pas tanggal jatuh tempo udah dianggep nggak nunggak udah bayar tokopedia langgan,netral
Halo @TokopediaCare pelanggan anda masih menunggu penjelasan atas tuduhan pelanggaran yang Tokopedia tuduhkan kepada saya!!!,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",halo tokopediacare langgan tunggu jelas tuduh langgar tokopedia tuduh,negatif
@bankmandiri  Min ....mau tanya kenapa mau top up melalui toko online shopee atau tokopedia tidak tersedia untuk emoney nya ?,"['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bankmandiri min top up toko online shopee tokopedia sedia emoney nya,netral
"@DragonoHalim Pake Tokopedia Langganan bisa ni, gw pake autodebit CC setting dari BPJS-nya pun pernah gagal soalnya 😂","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",dragonohalim pake tokopedia langgan ni pake autodebit cc setting bpjsnya gagal,negatif
"@bagusjkusuma @18fesss grab mungkin, opo mungkin Tokopedia boss","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bagusjkusuma fesss grab opo tokopedia boss,netral
"Tokopedia dan Shopee
antara kau dan dia
aku pilih sepi

@tokopedia @ShopeeID","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia shopeeantara kau diaaku pilih sepitokopedia shopeeid,netral
@MORRYSMARKETOFF @tokopedia @ShopeeCare @TokopediaCare @bukalapak @blibli Ga semua buyer bisa buat video unboxing. Kalo yg beli org udah tua / lansia gimana? Seperti berita2 yg ada. Yg sering ketipu. Jangan selalu menuntut ke buyer kak saran saya. Seller juga turut serta bertanggung jawab atas penjualannya,"['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",morrysmarketoff tokopedia shopeecare tokopediacare bukalapak blibli ga buyer video unboxing kalo yg beli org udah tua lansia gimana berita yg yg tipu tuntut buyer kak saran seller tanggung jual,negatif
"Open Gestun limit paylater :
🛒 kredivo, Homecredit, BRI Ceria,traveloka VN,credit Card,gopayLater/cicil, dan tokopedia card
🛒 Akulaku, Bukalapak 
🛒 Spaylater 

💌 Co via tokped bisa apply voucher cashback &amp; diskon barang
#zonauang 5","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun limit paylater kredivo homecredit bri ceriatraveloka vncredit cardgopaylatercicil tokopedia card akulaku bukalapak spaylater co via tokped apply voucher cashback amp diskon barangzonauang,netral
"🍀 Open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, GET CASHBACK, fee start 25k 🍀 pencairan cairin tarik gesek tunai paylater topup top up #zonauang #zonabu #gestun","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi get cashback fee start k cair cairin tarik gesek tunai paylater topup top up zonauang zonabu gestun,positif
"@bynbinn Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bynbinn hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@strawberiesanne Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",strawberiesanne hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"WTB PC TOKPED X BTS 

Vol mana aja tawarin dm

tags wts wtb pc bts rm namjoon jin seokjin suga yoongi hobi jhope jimin taehyung v jungkook jk bangtan ijo tokopedia","['Named people in the world like Nelson Mandela', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",wtb pc tokped x bts vol aja tawarin dmtags wts wtb pc bts rm namjoon jin seokjin suga yoongi hobi jhope jimin taehyung v jungkook jk bangtan ijo tokopedia,netral
@tokopedia No setingan alasannya,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia no ting alas,netral
"@tokopedia Bro ,oke juga","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia bro oke,netral
